perturbation,k,trial,start,group_change_rate,pair_preservation,d_skill_imbalance,d_experience_imbalance,d_diversity_imbalance,d_preference_satisfaction
remove,1,0,cold,0.559322033898305,0.864406779661017,-0.0008855919027777779,0.014044444444444498,0.0018361581920903897,-0.0625
remove,1,0,warm,0.23728813559322035,0.9298655756867329,0.0007003922277777769,0.09182222222222225,0.0018361581920904035,0.012499999999999956
remove,1,1,cold,0.5932203389830508,0.8609000584453536,0.0005360267583333325,0.38134444444444443,0.024293785310734464,0.012499999999999956
remove,1,1,warm,0.03389830508474576,0.9883109292811222,8.895387499999923e-05,-0.04087777777777776,0.010169491525423721,-0.012500000000000011
remove,1,2,cold,0.4915254237288136,0.8760958503798948,0.0017303940249999983,0.1225,0.020028248587570643,0.043209876543209846
remove,1,2,warm,0.06779661016949153,0.9801285797779077,-7.1010916666679885e-06,0.048544444444444446,0.0026836158192090204,-0.006172839506172867
remove,1,3,cold,0.6779661016949152,0.8492109877264757,-0.00022444469444444473,0.09276666666666675,0.020338983050847442,-0.006024096385542188
remove,1,3,warm,0.05084745762711865,0.983635300993571,-0.0001702237722222221,-0.001677777777777778,0.012288135593220353,-0.01807228915662651
remove,1,4,cold,0.576271186440678,0.8690824079485681,0.0007226541333333336,0.06351111111111116,0.013841807909604514,-0.0357142857142857
remove,1,4,warm,0.0847457627118644,0.9707773232028054,0.00014889424166666552,-0.030399999999999996,0.006497175141242942,0.0
remove,3,0,cold,0.5789473684210527,0.8634085213032582,0.0014127555805555558,0.02551111111111118,0.024473684210526328,-0.026315789473684237
remove,3,0,warm,0.2631578947368421,0.9348370927318296,0.0003757099611111101,0.11604444444444445,0.019122807017543875,-0.01315789473684209
remove,3,1,cold,0.6140350877192983,0.8634085213032582,0.0024125519666666657,0.16534444444444446,0.03763157894736842,0.044303797468354444
remove,3,1,warm,0.2807017543859649,0.9197994987468672,0.0003386387694444444,-0.051955555555555505,0.022280701754385984,0.006329113924050667
remove,3,2,cold,0.5964912280701754,0.868421052631579,0.0007787089583333332,0.1431222222222222,0.03456140350877192,0.013513513513513487
